,Model,Threshold_Luc,F1_Luc,ROC_AUC_Luc,PR_AUC_Luc,MCC_Luc,Threshold_PDE,F1_PDE,ROC_AUC_PDE,PR_AUC_PDE,MCC_PDE,F1_Avg
1,Logistic Regression,0.62,0.3429,0.7938,0.3118,0.2707,0.56,0.4348,0.7992,0.3966,0.3357,0.3889
2,CatBoost,0.68,0.3429,0.7932,0.3014,0.2707,0.54,0.4211,0.7706,0.345,0.3199,0.382
3,Easy Ensemble,0.58,0.32,0.7948,0.3005,0.2438,0.56,0.431,0.7811,0.3703,0.3307,0.3755
4,SVM (RBF),0.78,0.3175,0.7822,0.2022,0.2536,0.52,0.4302,0.7782,0.3497,0.3368,0.3738
5,Custom (BalancedRF),0.4,0.3125,0.7699,0.2639,0.2478,0.74,0.4211,0.7174,0.3361,0.3399,0.3668
6,KNN,0.18,0.2941,0.7373,0.2823,0.218,0.3,0.4259,0.7145,0.2933,0.3298,0.36
7,XGBoost,0.46,0.3175,0.7749,0.2743,0.2536,0.62,0.4,0.7041,0.3387,0.3157,0.3588
8,LightGBM,0.5,0.3125,0.7838,0.2663,0.2478,0.58,0.3967,0.6842,0.3264,0.2874,0.3546
9,Stacking Ensemble,0.48,0.3175,0.7685,0.2685,0.2536,0.66,0.3871,0.6937,0.3419,0.3045,0.3523
10,Random Forest,0.1,0.2979,0.7345,0.2262,0.2721,0.5,0.3855,0.6652,0.3167,0.2716,0.3417
11,Gradient Boosting,0.1,0.2979,0.7671,0.2465,0.2721,0.5,0.3613,0.6428,0.3075,0.2371,0.3296
